"expr" "time"
"364" "map_dbl(1:170, Factorial_mem)" 3507348
"365" "mapply(Factorial_loop, 1:170)" 4723500
"366" "mapply(Factorial_reduce, 1:170)" 428375
"367" "mapply(Factorial_loop, 1:170)" 3993609
"368" "mapply(Factorial_func, 1:170)" 28980431
"369" "mapply(Factorial_reduce, 1:170)" 475138
"370" "mapply(Factorial_loop, 1:170)" 4192748
"371" "mapply(Factorial_loop, 1:170)" 4225771
"372" "mapply(Factorial_loop, 1:170)" 4373421
"373" "mapply(Factorial_func, 1:170)" 32501638
"374" "mapply(Factorial_reduce, 1:170)" 566657
"375" "mapply(Factorial_loop, 1:170)" 3942026
"376" "mapply(Factorial_loop, 1:170)" 3940720
"377" "mapply(Factorial_reduce, 1:170)" 451445
"378" "mapply(Factorial_func, 1:170)" 33041918
"379" "mapply(Factorial_loop, 1:170)" 4046919
"380" "map_dbl(1:170, Factorial_mem)" 1319115
"381" "mapply(Factorial_reduce, 1:170)" 459356
"382" "mapply(Factorial_reduce, 1:170)" 455713
"383" "mapply(Factorial_func, 1:170)" 29240870
"384" "mapply(Factorial_reduce, 1:170)" 440652
"385" "map_dbl(1:170, Factorial_mem)" 1336538
"386" "mapply(Factorial_func, 1:170)" 32948332
"387" "mapply(Factorial_func, 1:170)" 33443714
"388" "mapply(Factorial_reduce, 1:170)" 535590
"389" "mapply(Factorial_reduce, 1:170)" 438513
"390" "mapply(Factorial_loop, 1:170)" 3953136
"391" "map_dbl(1:170, Factorial_mem)" 1223515
"392" "mapply(Factorial_func, 1:170)" 29055999
"393" "mapply(Factorial_loop, 1:170)" 4156969
"394" "mapply(Factorial_reduce, 1:170)" 438930
"395" "mapply(Factorial_loop, 1:170)" 4509082
"396" "map_dbl(1:170, Factorial_mem)" 1353991
"397" "map_dbl(1:170, Factorial_mem)" 1311130
"398" "map_dbl(1:170, Factorial_mem)" 1350657
"399" "mapply(Factorial_func, 1:170)" 32278533
"400" "mapply(Factorial_func, 1:170)" 37669596
